Bookmark_ID,Bookmark_Name_ID,Grade_ID,Option_ID,Skill_ID
11001,80320210,1501,1301001,0
11002,80320210,1501,1301002,0
11003,80320210,1501,1301003,0
11004,80320210,1502,1301004,0
11005,80320210,1502,1301005,0
11006,80320210,1502,1301006,0
11007,80320210,1502,1301007,0
11008,80320210,1503,1301008,0
11009,80320210,1503,1301009,0
11010,80320210,1503,1301010,0
11011,80320210,1504,1301011,0
11012,80320210,1504,1301012,0
11013,80320210,1504,1301013,0
11014,80320210,1505,1301014,0
11015,80320210,1505,1301015,0
11016,80320210,1505,1301016,0
11017,80320210,1505,1301017,0
11018,80320219,1501,0,39002
11019,80320220,1502,0,39003
11020,80320221,1503,0,39004
11021,80320222,1505,0,39005
11022,80320223,1504,0,39006
11023,80320224,1504,0,39007
11024,80320225,1501,0,39008
11025,80320226,1505,0,39009
11026,80320227,1503,0,39010
11027,80320228,1502,0,39011
11028,80320229,1503,0,39012
11029,80320230,1503,0,39013
11030,80320231,1502,0,39014
11031,80320232,1502,0,39015
11032,80320233,1505,0,39016
11033,80320234,1503,0,39017
11034,80320235,1501,0,39018
11035,80320236,1501,0,39019
11036,80320237,1501,0,39020
11037,80320238,1504,0,39021
11038,80320239,1502,0,39022
11039,80320240,1501,0,39023
11040,80320241,1503,0,39024
11041,80320242,1501,0,39025
11042,80320243,1504,0,39026
11043,80320244,1502,0,39027
11044,80320245,1505,0,39028
11045,80320246,1503,0,39029
11046,80320247,1504,0,39030
11047,80320248,1503,0,39031
11048,80320249,1502,0,39032
11049,80320250,1501,0,39033
11050,80320251,1502,0,39034
11051,80320252,1503,0,39035
11052,80320253,1503,0,39036
11053,80320254,1502,0,39037
11054,80320255,1503,0,39038
11055,80320256,1502,0,39039
11056,80320257,1504,0,39040
11057,80320258,1503,0,39041
11058,80320259,1504,0,39042
11059,80320260,1503,0,39043
11060,80320261,1501,0,39044
11061,80320262,1502,0,39045
11062,80320263,1505,0,39046
11063,80320264,1504,0,39047
11064,80320265,1502,0,39048
11065,80320266,1501,0,39049
11066,80320267,1505,0,39050
11067,80320268,1501,0,40001
11068,80320269,1501,0,40002
11069,80320270,1501,0,40003
11070,80320271,1501,0,40004
11071,80320272,1503,0,40005
11072,80320273,1503,0,40006
11073,80320274,1502,0,40007
11074,80320275,1502,0,40008
11075,80320276,1504,0,40009
11076,80320277,1501,0,40010
11077,80320278,1501,1302018,0
11078,80320278,1501,1302019,0
11079,80320278,1501,1302020,0
11080,80320278,1502,1302021,0
11081,80320278,1502,1302022,0
11082,80320278,1502,1302023,0
11083,80320278,1502,1302024,0
11084,80320278,1503,1302025,0
11085,80320278,1503,1302026,0
11086,80320278,1503,1302027,0
11087,80320278,1504,1302028,0
11088,80320278,1504,1302029,0
11089,80320278,1504,1302030,0
11090,80320278,1505,1302031,0
11091,80320278,1505,1302032,0
11092,80320278,1505,1302033,0
11093,80320278,1505,1302034,0
11094,80320279,1501,1303035,0
11095,80320279,1501,1303036,0
11096,80320279,1501,1303037,0
11097,80320279,1502,1303038,0
11098,80320279,1502,1303039,0
11099,80320279,1502,1303040,0
11100,80320279,1502,1303041,0
11101,80320279,1503,1303042,0
11102,80320279,1503,1303043,0
11103,80320279,1503,1303044,0
11104,80320279,1504,1303045,0
11105,80320279,1504,1303046,0
11106,80320279,1504,1303047,0
11107,80320279,1505,1303048,0
11108,80320279,1505,1303049,0
11109,80320279,1505,1303050,0
11110,80320279,1505,1303051,0
11111,80320280,1501,1304052,0
11112,80320280,1501,1304053,0
11113,80320280,1501,1304054,0
11114,80320280,1502,1304055,0
11115,80320280,1502,1304056,0
11116,80320280,1502,1304057,0
11117,80320280,1502,1304058,0
11118,80320280,1503,1304059,0
11119,80320280,1503,1304060,0
11120,80320280,1503,1304061,0
11121,80320280,1504,1304062,0
11122,80320280,1504,1304063,0
11123,80320280,1504,1304064,0
11124,80320280,1505,1304065,0
11125,80320280,1505,1304066,0
11126,80320280,1505,1304067,0
